                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                   1.77,                 1.4892,                 1.4988,                0.85266,                0.83187,                0.88696,                0.59726,                 1.2504,                  0.643,                 1.3184,               0.070023,              0.0033308,              0.0033308
                      1,                 1.6598,                 1.1294,                  1.419,                0.85317,                0.81111,                0.88426,                0.59241,                 1.2551,                0.74494,                 1.3128,               0.039759,              0.0064002,              0.0064002
                      2,                 1.7075,                 1.2025,                 1.4522,                0.82634,                0.80806,                0.85601,                0.54672,                 1.3528,                0.82885,                 1.3959,              0.0092312,              0.0092056,              0.0092056
                      3,                 1.7221,                 1.2384,                 1.4731,                0.84956,                 0.8246,                0.88086,                0.57696,                  1.282,                0.74532,                 1.3778,               0.008812,               0.008812,               0.008812
                      4,                 1.6803,                 1.1661,                 1.4532,                0.83977,                0.84307,                0.88652,                0.59086,                 1.2697,                0.70913,                 1.3627,               0.008812,               0.008812,               0.008812
                      5,                 1.6419,                 1.1182,                 1.4306,                0.86416,                0.85111,                0.90008,                0.60526,                 1.2156,                0.67996,                 1.3189,               0.008416,               0.008416,               0.008416
                      6,                 1.6012,                 1.0597,                 1.4064,                0.87711,                 0.8602,                0.91111,                0.62552,                 1.2032,                0.65497,                 1.3085,                0.00802,                0.00802,                0.00802
                      7,                  1.574,                 1.0342,                 1.3945,                0.86905,                0.86114,                0.90675,                0.62998,                 1.1865,                0.63378,                 1.2878,               0.007624,               0.007624,               0.007624
                      8,                 1.5512,                 1.0076,                 1.3783,                0.87296,                  0.875,                0.91725,                0.64124,                 1.1797,                0.62819,                 1.2836,               0.007228,               0.007228,               0.007228
                      9,                 1.5263,                0.97699,                 1.3694,                0.87655,                0.87031,                0.91669,                0.64308,                 1.1674,                0.61911,                  1.295,               0.006832,               0.006832,               0.006832
                     10,                 1.5023,                0.95128,                 1.3545,                0.86634,                0.88507,                0.92114,                0.64968,                 1.1488,                0.60399,                 1.2772,               0.006436,               0.006436,               0.006436
                     11,                 1.4858,                0.93181,                 1.3397,                0.87788,                0.87821,                 0.9248,                0.65747,                 1.1459,                0.58704,                 1.2637,                0.00604,                0.00604,                0.00604
                     12,                 1.4711,                0.91327,                 1.3288,                0.88317,                0.87902,                0.92475,                0.65681,                 1.1396,                0.57123,                 1.2541,               0.005644,               0.005644,               0.005644
                     13,                 1.4527,                0.89408,                 1.3159,                0.88243,                0.88157,                0.92539,                0.66539,                   1.13,                0.56995,                 1.2517,               0.005248,               0.005248,               0.005248
                     14,                 1.4311,                0.87581,                  1.311,                0.88997,                0.88457,                0.92968,                0.66926,                 1.1237,                0.56236,                 1.2495,               0.004852,               0.004852,               0.004852
                     15,                 1.4404,                0.85488,                 1.4269,                0.86131,                0.90582,                0.93174,                0.66962,                  1.129,                0.56296,                 1.2464,               0.004456,               0.004456,               0.004456
                     16,                 1.4232,                0.83993,                 1.4201,                0.88126,                0.90333,                0.93269,                0.67591,                 1.1118,                0.54915,                 1.2522,                0.00406,                0.00406,                0.00406
                     17,                  1.401,                0.81655,                 1.4024,                0.89939,                0.89226,                0.93856,                0.68055,                 1.1098,                0.54337,                 1.2389,               0.003664,               0.003664,               0.003664
                     18,                 1.3855,                0.79643,                 1.3878,                 0.9045,                0.89062,                0.94259,                 0.6885,                 1.0957,                0.53461,                 1.2277,               0.003268,               0.003268,               0.003268
                     19,                 1.3678,                0.78303,                 1.3736,                0.88241,                0.91276,                0.93946,                0.68964,                  1.086,                0.52951,                 1.2123,               0.002872,               0.002872,               0.002872
                     20,                 1.3447,                0.76194,                 1.3562,                0.91042,                0.89783,                 0.9437,                0.69642,                 1.0824,                0.51813,                 1.2101,               0.002476,               0.002476,               0.002476
                     21,                 1.3236,                  0.741,                 1.3352,                0.90519,                0.90568,                0.94533,                0.70005,                 1.0792,                0.51253,                 1.2002,                0.00208,                0.00208,                0.00208
                     22,                 1.3069,                0.72882,                   1.34,                0.90071,                0.90463,                0.94636,                0.70329,                 1.0708,                0.50479,                 1.1968,               0.001684,               0.001684,               0.001684
                     23,                 1.2864,                0.70967,                  1.326,                0.90021,                 0.9089,                0.94626,                0.70531,                 1.0715,                 0.4993,                 1.1956,               0.001288,               0.001288,               0.001288
                     24,                 1.2616,                0.69083,                 1.3066,                0.91622,                0.89718,                0.94734,                0.70778,                 1.0641,                0.49574,                 1.1855,               0.000892,               0.000892,               0.000892
